,post,map to
0,[WEEK 1] Project 1,Project 1
1,Project 1 Help,Project 1
2,Details of Project one.,Project 1
3,Extra credit for project 1,Project 1
4,Project 1 Part 2 Released!,
5,Don&#39;t know how to generate secret code,Project 1
6,Out of Place Walkthrough!,Project 1
7,Project 1 Part 2,Project 1
8,Project 1 Part 2 Question about Helper Blocks,Project 1
9,Invalid Message For Project 1 Part 2,Project 1
10,Project 2 Released!!!,
11,Link for starter file not working project 2,Project 2
12,Project 2 Partner,Project 2
13,Project 2 Link Updated,Project 2
14,[Project 1] Parts 1 and 2 Have Been Graded!,
15,Explore Post!,
16,Project 1 Part 1 Question,Project 1
17,[Project 2] Has Been Graded!,Project 2
18,Final Project Spec Released!,
19,Third Partner for Final Project,Final Project
20,Why does this screen pop up when I try to submit my proposal?,
21,Project 1 Question,Project 1
22,Python turtle: pos referenced before defined,
23,question about connect 4 (final project),Final Project
24,Reminder: Final Project Milestone Due Tonight,
25,Citing code,Final Project
26,[Final Project] Grades Available on Gradescope!,
27,[WEEK 1] Welcome to Snap!,PSET 1
28,[WEEK 1] Build your own blocks,PSET 2
29,[WEEK 1] Conditionals &#43; Reporters,PSET 3
30,Problem Sets,
31,ProbSet 3,PSET 3
32,&#39;Report&#39; statement,PSET 3
33,[WEEK 2] PSET 4: Lists,PSET 4
34,[WEEK 2] PSET 5: Algorithms,PSET 5
35,Stuck on pset 4,PSET 4
36,Can&#39;t find a block,PSET 4
37,PSET4 &#34;Expand _&#34; Block,PSET 4
38,I am having a lot of trouble with the &#34;find number in sorted list&#34; algorithm.  Can anyone help?,PSET 5
39,Problem Set 5,PSET 5
40,[WEEK 3] PSET 6: Testing,PSET 6
41,[WEEK 3] PSET 7: Trees and Fractals Using Recursion,PSET 7
42,Problem with Inside Board block (PSet 7),PSET 7
43,TypeError Follow Up,PSET 1
44,[WEEK 4] PSET 8: Fractals,PSET 8
45,[WEEK 4] PSET 9: Recursive Reporters,PSET 9
46,How to point the sprite upwards?,PSET 1
47,[WEEK 5] PSET 10: Welcome to Python,PSET 10
48,[WEEK 5] PSET 11: Data Structures in Python,PSET 11
49,"[WEEK 5] PSET 12: Functions as Data, HOFs",PSET 12
50,PSET11,PSET 11
51,Turtle,PSET 10
52,[WEEK 6] PSET 13: Text Processing,PSET 13
53,[WEEK 6] PSET 14: Algorithmic Complexity,PSET 14
54,"Problem Set 11, Exercise 4",PSET 11
55,top_n_word function pset13,PSET 13
56,Grades of PSETs,
57,[WEEK 7] PSET 15: Algorithmic Complexity,PSET 15
58,Question about word --&gt; list block,Other
59,Data Lab Graphs,PSET 18
60,[WEEK 8] PSET 17: OOP,PSET 17
61,pset17,PSET 17
62,UCBMFET,PSET 17
63,Content on practice exams,
64,Midterm Logistics,Midterm
65,Midterm Grading Completed!,Midterm
66,Midterm questions to review,Midterm
67,Without Snap! Midterm Regrade,Midterm
68,Question about #11 on Without-Snap Midterm,Midterm
69,Final Exam Logistics,Final
70,Exam Prep &#43; The Future of Testing!!,
71,Discrepancy on discussion 16 algorithmic complexity problem #3,PSET 14
72,[Final Exam] Grades Released,Final
