,Submission HTML Removed
29,"How do I get my ""matching slots"" reporter block spit out numbers? I know it has to do with the ""join"" block, but I'm stuck"
31,"Hey, if we do Project 1 with a partner, can we submit the same code or are we supposed to have completely different codes from each other?"
189,"Can you elaborate a bit on what you mean when you say that you cannot figure out how to report numbers? Do you mean you are having difficulty writing the matching slots block, or that you want to report a numerical value but are unsure how to? If your question is the former, can you explain what you have tried so far? If it is the latter, then you can report numbers the same way you report anything else using the report block."
314,"Gotcha! Thank you! Now I stuck on another problem, even if the player figures out the word, it continues asking what's your guess. It doesn't stop. But on my repeat statement I'm checking it, so it should run until its false. But it keeps running no matter if the player guessed the word or not.

"
316,"Also, I'm not sure how to check all the letters in a word if they consist of ROYJBV. Should I use if statement for every letter in a word ? But then how to make sure if a letter is only in the range of ROYJBV. I'm kinda lost on my own thoughts."
319,"Also, if the word is longer than 4 or a letter is not in the range, what should it do? Repeat or just send the message about the wrong input."
321,"

Is that ok if I'll show the player the length and guessed word on the stage, so that way the player can see the word and the correct slots."
336,Thank you! Also should I keep the guess variable in the top left corner (it can be seen in of the screenshots)? Or should I hide it (make it invisible)?
372,"The directions for Project 1 part 2 say ""Both the secret code and the guess should be case-insensitive (i.e. rrrr = RRRR)."" The directions say that the game SHOULD be case sensitive, but the example is showing that the letters are not case sensitive (because rrrr = RRRR). Which is correct?"
374,I am having trouble finding the min block for the out of place block. Am I missing something?
376,"If the user enters an invalid guess (too many letters, not enough letters, etc.), does that still count as a ""guess""? I was wondering abut this because we have to report the number of guesses at the end of the game."
379,"Is the ""Extra for Experience"" part extra credit? If not, what is the extra credit? "
381,"I have tried creating script variables, using the if block to check if the list will contain the letter specified, and then storing them in those variables. However, I'm not sure where to go from there and how to use the HOFs in this. Can I have some advice on creating the ""occurrences of"" block?"
425,"Hey Emersyn,

Thanks for stopping by OH and for being determined about solving this problem.

I hope Maxson's explanation clarifies some questions you had. Do let us know if any other ones come up!"
429,This is great!
433,"'pick random'  is for numbers , do I need to import any library in order to use 'pick random' for letters?"
471,"Answering down here because I'm not 100% on this:
I guess you won't be penalized, but I'm not sure how you were able to make the ""out-of-place"" block without ""keep characters not in same place"" and the ""occurrences of"" blocks without repeating the same code. 

If the code on the OOP block is basically the same as the code in the other two, you may be docked for repetitive code/not abstracting properly"
530,Yes! Thank you!
531,Are there any instructors available right now to help me with the same question?
539,"Hi there, can someone send the link to the starter file again? I can't open it, my Snap! says ""Could not fetch undefined file doesn't exist""."
543,"For the 3rd block ""merge column x of list up"", I am having difficulty setting the ""x"" value to be the column it only sets ""x"" as the rows, I'm probably making a super simple mistake do I need to form a new list or use something like a HOF, maybe I'm just typing something wrong, hope what I'm asking makes sense"
545,"For the add 2 or 4 block, can I have any hint on how to make 2 to have 75% chance over 4? "
579,@Aaron Baker 
614,Hey! I don’t have a partner yet. My email is achen87@berkeley.edu.
615,"Hi!
I am also looking for a partner for project 2 too! If anyone is looking for a partner, please email me at khanhhuynh2111@berkeley.edu ! "
618,"Also, please note! If you downloaded the Snap! starter file for Project 2 between 7pm PDT yesterday, 7/12 and 3pm PDT today, 7/13, you will need to download it again as we temporarily linked to a Project 1.2 file instead of a Project 2 file."
